"R1"	"R2"	"R3"	"R4"	"R7"	"R8"	"R9"	"R10"	"R13"	"R15"	"R16"	"R19"	"R20"	"R21"
"241066"	89	127	106	200	78	126	112	269	159	136	111	55	147	145
"100504573"	4055	2904	2703	3191	3086	2461	4174	4061	3440	1889	2874	369	3080	3369
"269198"	340	2254	524	2187	329	1326	515	2908	1175	1052	2125	451	2193	2368
"77951"	365	436	307	773	276	490	616	948	435	284	740	82	543	809
"329165"	103	351	151	304	97	216	101	505	174	146	478	123	409	312
"77300"	1652	5777	1871	4372	1353	5178	1931	7873	2924	2744	3062	1284	5292	4144
"100043027"	18	17	8	17	16	9	17	9	10	5	9	3	12	9
"100042533"	0	1	0	0	0	0	0	0	0	0	0	0	2	0
"12487"	3	0	0	0	1	3	0	3	1	1	2	0	1	3
"100504618"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12477"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"54167"	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"77341"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"72823"	779	1055	408	690	527	902	496	773	782	385	455	250	636	572
"18187"	21	98	18	228	30	127	32	606	104	39	31	26	146	57
"74992"	0	0	0	0	0	0	0	3	0	0	0	1	0	0
"227195"	1875	3260	1669	2634	1473	2514	2171	3856	2932	2206	2922	456	3255	2041
"100380944"	38	42	32	21	28	26	38	24	35	42	47	2	52	29
"100504668"	33	17	18	4	14	17	18	16	40	31	17	2	32	12
"227197"	4432	4630	3337	3421	3578	3288	4393	4539	3914	2678	4214	982	3425	3596
"55949"	22659	17073	16771	18607	18896	14275	24053	25827	19925	13226	14882	4783	15509	18632
"100217464"	18	7	10	15	8	3	15	8	10	12	15	0	12	23
"241070"	0	0	0	0	0	1	0	0	0	0	1	0	0	1
"73884"	0	1	1	2	0	0	0	1	0	0	1	0	0	0
"23792"	0	0	1	1	0	0	0	0	1	0	0	1	0	0
"241073"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"76668"	0	1	2	3	2	0	2	1	0	0	0	0	0	0
"75619"	1319	985	882	1221	975	864	1322	1722	1251	712	1688	246	1077	1286
"74426"	1	0	1	4	0	6	5	10	1	0	11	0	10	3
"433315"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"93691"	157	236	145	216	157	210	193	448	192	185	109	93	289	155
"12912"	1890	2079	2015	2680	1655	1843	1882	4809	2684	2248	2966	322	2419	1611
"67099"	155	165	110	215	98	204	198	293	212	107	189	9	182	190
"69941"	81	58	80	79	96	66	96	128	88	77	95	29	48	43
"227210"	276	502	221	402	264	388	285	584	311	225	717	158	393	442
"14367"	3638	5337	1397	2221	3317	4710	2410	3677	4331	2062	2076	857	5203	1847
"241075"	61	252	31	239	56	199	49	323	89	50	230	45	160	290
"70861"	0	0	0	0	1	0	0	0	1	0	0	2	0	0
"667276"	45	65	39	71	60	22	59	166	27	29	64	17	34	49
"12968"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
